year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2025,6,쇼핑업,레저용품쇼핑,43.6,2.5
2025,6,쇼핑업,기타관광쇼핑,43.6,33.4
2025,6,쇼핑업,대형쇼핑몰,43.6,64.1
2025,6,숙박업,호텔,0.6,7.3
2025,6,숙박업,캠핑장/펜션,0.6,3.8
2025,6,숙박업,기타숙박,0.6,88.9
2025,6,식음료업,일반외식업,31.2,82.1
2025,6,식음료업,제과음료업,31.2,17.9
2025,6,여가서비스업,관광유원시설,11.8,3.4
2025,6,여가서비스업,골프장,11.8,81.1
2025,6,여가서비스업,기타레저,11.8,11.9
2025,6,여가서비스업,문화서비스,11.8,3.6
2025,6,여행업,여행업,0.1,100.0
2025,6,운송업,육상운송,11.4,99.9
2025,6,운송업,렌터카,11.4,0.1
2025,6,의료웰니스업,의료관광,1.4,21.3
2025,6,의료웰니스업,뷰티,1.4,78.7
