year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2025,1,쇼핑업,레저용품쇼핑,52.0,2.2
2025,1,쇼핑업,기타관광쇼핑,52.0,28.2
2025,1,쇼핑업,대형쇼핑몰,52.0,69.6
2025,1,숙박업,호텔,0.6,7.9
2025,1,숙박업,캠핑장/펜션,0.6,4.4
2025,1,숙박업,기타숙박,0.6,87.7
2025,1,식음료업,일반외식업,30.8,81.3
2025,1,식음료업,제과음료업,30.8,18.7
2025,1,여가서비스업,관광유원시설,3.5,7.8
2025,1,여가서비스업,골프장,3.5,40.7
2025,1,여가서비스업,기타레저,3.5,35.5
2025,1,여가서비스업,문화서비스,3.5,16.0
2025,1,여행업,여행업,0.1,100.0
2025,1,운송업,렌터카,11.5,0.1
2025,1,운송업,육상운송,11.5,99.9
2025,1,의료웰니스업,의료관광,1.5,11.6
2025,1,의료웰니스업,뷰티,1.5,88.4
