year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2025,7,쇼핑업,레저용품쇼핑,39.8,3.4
2025,7,쇼핑업,기타관광쇼핑,39.8,38.2
2025,7,쇼핑업,대형쇼핑몰,39.8,58.4
2025,7,숙박업,호텔,0.7,9.3
2025,7,숙박업,캠핑장/펜션,0.7,3.6
2025,7,숙박업,기타숙박,0.7,87.1
2025,7,식음료업,일반외식업,33.2,82.6
2025,7,식음료업,제과음료업,33.2,17.4
2025,7,여가서비스업,관광유원시설,10.9,2.1
2025,7,여가서비스업,골프장,10.9,80.5
2025,7,여가서비스업,기타레저,10.9,12.5
2025,7,여가서비스업,문화서비스,10.9,5.0
2025,7,여행업,여행업,0.1,100.0
2025,7,운송업,렌터카,13.7,0.1
2025,7,운송업,육상운송,13.7,99.9
2025,7,의료웰니스업,의료관광,1.5,17.7
2025,7,의료웰니스업,뷰티,1.5,82.3
