year,month,소비자 연령,비율(남성),비율(여성)
2025,3,80대,0.4,0.4
2025,3,70대,1.9,1.3
2025,3,60대,8.8,5.3
2025,3,50대,15.4,10.0
2025,3,40대,16.9,9.0
2025,3,30대,13.6,9.9
2025,3,20대,3.6,3.4
2025,3,10대,0.1,0.1
