year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,10,쇼핑업,레저용품쇼핑,49.9,3.2
2024,10,쇼핑업,기타관광쇼핑,49.9,25.0
2024,10,쇼핑업,대형쇼핑몰,49.9,71.8
2024,10,숙박업,호텔,0.6,10.4
2024,10,숙박업,캠핑장/펜션,0.6,6.0
2024,10,숙박업,기타숙박,0.6,83.6
2024,10,식음료업,일반외식업,27.0,82.1
2024,10,식음료업,제과음료업,27.0,17.9
2024,10,여가서비스업,관광유원시설,11.1,4.8
2024,10,여가서비스업,골프장,11.1,78.8
2024,10,여가서비스업,기타레저,11.1,13.7
2024,10,여가서비스업,문화서비스,11.1,2.6
2024,10,여행업,여행업,0.1,100.0
2024,10,운송업,육상운송,10.3,100.0
2024,10,운송업,렌터카,10.3,0.0
2024,10,의료웰니스업,의료관광,1.1,13.9
2024,10,의료웰니스업,뷰티,1.1,86.1
