year,month,소비자 연령,비율(남성),비율(여성)
2025,2,80대,0.4,0.3
2025,2,70대,2.0,1.2
2025,2,60대,9.2,5.3
2025,2,50대,15.6,9.7
2025,2,40대,17.5,8.9
2025,2,30대,13.6,8.9
2025,2,20대,3.7,3.3
2025,2,10대,0.1,0.1
