year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,1,쇼핑업,레저용품쇼핑,46.0,2.8
2024,1,쇼핑업,기타관광쇼핑,46.0,35.5
2024,1,쇼핑업,대형쇼핑몰,46.0,61.6
2024,1,숙박업,호텔,0.8,10.8
2024,1,숙박업,캠핑장/펜션,0.8,8.3
2024,1,숙박업,기타숙박,0.8,80.9
2024,1,식음료업,일반외식업,34.5,81.5
2024,1,식음료업,제과음료업,34.5,18.5
2024,1,여가서비스업,관광유원시설,3.7,5.0
2024,1,여가서비스업,골프장,3.7,41.3
2024,1,여가서비스업,기타레저,3.7,37.3
2024,1,여가서비스업,문화서비스,3.7,16.4
2024,1,여행업,여행업,0.1,100.0
2024,1,운송업,렌터카,13.4,0.1
2024,1,운송업,육상운송,13.4,99.9
2024,1,의료웰니스업,의료관광,1.6,13.7
2024,1,의료웰니스업,뷰티,1.6,86.3
