year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2025,8,쇼핑업,레저용품쇼핑,41.3,2.9
2025,8,쇼핑업,기타관광쇼핑,41.3,35.0
2025,8,쇼핑업,대형쇼핑몰,41.3,62.1
2025,8,숙박업,호텔,0.7,10.6
2025,8,숙박업,캠핑장/펜션,0.7,5.9
2025,8,숙박업,기타숙박,0.7,83.5
2025,8,식음료업,일반외식업,33.5,81.6
2025,8,식음료업,제과음료업,33.5,18.4
2025,8,여가서비스업,관광유원시설,10.1,3.3
2025,8,여가서비스업,골프장,10.1,77.2
2025,8,여가서비스업,기타레저,10.1,14.0
2025,8,여가서비스업,문화서비스,10.1,5.5
2025,8,여행업,여행업,0.0,100.0
2025,8,운송업,육상운송,12.8,99.9
2025,8,운송업,렌터카,12.8,0.1
2025,8,의료웰니스업,의료관광,1.6,21.0
2025,8,의료웰니스업,뷰티,1.6,79.0
