year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2025,5,쇼핑업,레저용품쇼핑,44.0,3.4
2025,5,쇼핑업,기타관광쇼핑,44.0,30.1
2025,5,쇼핑업,대형쇼핑몰,44.0,66.5
2025,5,숙박업,호텔,0.6,7.0
2025,5,숙박업,캠핑장/펜션,0.6,4.6
2025,5,숙박업,기타숙박,0.6,88.4
2025,5,식음료업,일반외식업,31.6,82.2
2025,5,식음료업,제과음료업,31.6,17.8
2025,5,여가서비스업,관광유원시설,11.7,4.3
2025,5,여가서비스업,골프장,11.7,78.2
2025,5,여가서비스업,기타레저,11.7,13.6
2025,5,여가서비스업,문화서비스,11.7,3.9
2025,5,여행업,여행업,0.1,100.0
2025,5,운송업,육상운송,10.7,100.0
2025,5,운송업,렌터카,10.7,0.0
2025,5,의료웰니스업,의료관광,1.3,18.8
2025,5,의료웰니스업,뷰티,1.3,81.2
