연도,월,주차,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,경기도,고양시,혼자서,2박 3일,F,50대,미혼,미혼,자영업,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,부안군,혼자서,1박 2일,M,50대,기혼,자녀 성인(막내 대학),기타/무직,모름
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,충청남도,부여군/예산군,2명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),자영업,500~700만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,강원도,고성군/속초시,3명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,서울시,모름,2명,1박 2일,M,30대,미혼,미혼,경영/관리/전문직,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,충청남도,보령시,2명,1박 2일,F,50대,기혼,신혼기(자녀 없음),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,경상남도,거제시/통영시,모름,2박 3일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,강원도,강릉시/속초시,2명,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),기타/무직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경기도,용인시,4명,1박 2일,M,40대,기혼,자녀 성장(막내 중고생),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,7~10만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,강원도,홍천군,2명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,1만원 미만,7~10만원 미만,5~7만원 미만,1만원 미만,1~3만원 미만,5~7만원 미만,강원도,고성군/속초시/인제군,2명,4박 5일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,10만원 이상,5~7만원 미만,1만원 미만,제주도,서귀포시(시내동)/조천읍,2명,5박 6일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,7~10만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,충청북도,충주시(구 청원군 포함),4명,3박 4일,F,60대 이상,미혼,미혼,기타/무직,300~500만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시,3명,2박 3일,F,20대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,10만원 이상,1~3만원 미만,1만원 미만,1만원 미만,3~5만원 미만,강원도,속초시,5명 이상,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),자영업,700만원 이상
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,부산시,모름,5명 이상,1박 2일,F,40대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,전라남도,구례군,5명 이상,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라남도,순천시,5명 이상,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,경상북도,경주시,모름,1박 2일,F,50대,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,부산시,모름,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,7~10만원 미만,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시,4명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라남도,완도군,모름,1박 2일,F,40대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경기도,용인시,2명,1박 2일,M,40대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,2명,1박 2일,F,40대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,30~40만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,5명 이상,4박 5일,F,20대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,부산시,모름,5명 이상,1박 2일,F,50대,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,전라남도,구례군,2명,1박 2일,F,30대,기타,신혼기(자녀 없음),경영/관리/전문직,300만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,10만원 이상,1~3만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,강원도,강릉시,2명,2박 3일,F,30대,미혼,미혼,판매/서비스직,500~700만원 미만
2024년,1월,3주차,20240115,30~40만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,5명 이상,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10만원 미만,1만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,3명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,울진군,4명,2박 3일,F,50대,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,10만원 이상,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,충청남도,당진시,5명 이상,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,경상남도,거제시,2명,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),경영/관리/전문직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,강원도,강릉시,2명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,7~10만원 미만,10만원 이상,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,강원도,강릉시/속초시,2명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,전라북도,고창군/순창군,4명,1박 2일,M,20대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,3주차,20240115,30~40만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,10만원 이상,1만원 미만,경기도,용인시,2명,1박 2일,M,30대,기혼,신혼기(자녀 없음),자영업,500~700만원 미만
2024년,1월,3주차,20240115,40만원 이상,7~10만원 미만,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,서울시,모름,2명,2박 3일,M,40대,미혼,미혼,판매/서비스직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,7~10만원 미만,1만원 미만,강원도,속초시,4명,1박 2일,M,20대,미혼,미혼,사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,7~10만원 미만,1만원 미만,강원도,정선군,5명 이상,2박 3일,M,30대,기타,자녀 유아&성장(막내 입학전~초등생),판매/서비스직,300~500만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,강원도,양양군/평창군,2명,1박 2일,F,20대,미혼,미혼,판매/서비스직,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라북도,전주시,5명 이상,1박 2일,F,50대,기타,자녀 독립(막내 결혼),사무/기술직,300만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,경상북도,경주시,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,강원도,홍천군,5명 이상,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,5~7만원 미만,1만원 미만,경상북도,경주시,4명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,1만원 미만,5~7만원 미만,7~10만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,인천시,모름,2명,3박 4일,F,60대 이상,미혼,미혼,기타/무직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,대전시,모름,2명,1박 2일,F,20대,기혼,신혼기(자녀 없음),자영업,300~500만원 미만
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,5~7만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,전라남도,순천시/여수시,2명,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),경영/관리/전문직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,인천시,모름,4명,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,1~3만원 미만,1만원 미만,1만원 미만,경상북도,포항시,혼자서,1박 2일,F,40대,미혼,미혼,전업주부,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,경기도,이천시,3명,1박 2일,M,50대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,강원도,삼척시,5명 이상,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,충청남도,천안시,4명,2박 3일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,충청남도,공주시,2명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),자영업,300~500만원 미만
2024년,1월,3주차,20240115,30~40만원 미만,5~7만원 미만,7~10만원 미만,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,경상남도,거제시/김해시/사천시,5명 이상,1박 2일,F,50대,기혼,자녀 성인(막내 대학),자영업,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,강원도,태백시,2명,1박 2일,F,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,서울시,모름,4명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,10만원 미만,1만원 미만,1~3만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,고창군,2명,3박 4일,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,500~700만원 미만
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,부산시,모름,3명,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,300~500만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,3~5만원 미만,3~5만원 미만,10만원 이상,1만원 미만,3~5만원 미만,1만원 미만,경상북도,경주시,2명,1박 2일,F,20대,미혼,미혼,판매/서비스직,500~700만원 미만
2024년,1월,3주차,20240115,30~40만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,10만원 이상,1만원 미만,강원도,홍천군,2명,1박 2일,M,20대,미혼,미혼,대학/대학원생,700만원 이상
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,제주도,구체적인 지역 모름,모름,2박 3일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,5~7만원 미만,경기도,용인시,2명,1박 2일,M,50대,기혼,자녀 독립(막내 결혼),기능/숙련/일반작업직,500~700만원 미만
2024년,1월,3주차,20240115,10만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,5명 이상,1박 2일,F,20대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,속초시,2명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),자영업,모름
2024년,1월,3주차,20240115,30~40만원 미만,1만원 미만,10만원 이상,3~5만원 미만,7~10만원 미만,10만원 이상,1만원 미만,서울시,모름,2명,1박 2일,F,50대,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,7~10만원 미만,1만원 미만,인천시,모름,2명,1박 2일,F,30대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상북도,경주시,2명,1박 2일,F,20대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,1만원 미만,인천시,모름,4명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,500~700만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,7~10만원 미만,3~5만원 미만,3~5만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,부산시,모름,2명,1박 2일,M,50대,기혼,자녀 성장(막내 중고생),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,30~40만원 미만,3~5만원 미만,7~10만원 미만,1~3만원 미만,1~3만원 미만,10만원 이상,1만원 미만,서울시,모름,3명,1박 2일,F,20대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,부산시,모름,4명,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,경기도,구리시/화성시,2명,6박 7일 이상,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,청송군,2명,1박 2일,F,30대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,대구시,모름,5명 이상,3박 4일,M,50대,기혼,자녀 성장(막내 중고생),경영/관리/전문직,700만원 이상
2024년,1월,3주차,20240115,10만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,광주시,모름,혼자서,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,500~700만원 미만
2024년,1월,3주차,20240115,40만원 이상,5~7만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,10만원 이상,1만원 미만,강원도,강릉시,2명,5박 6일,F,30대,미혼,미혼,판매/서비스직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,사천시,3명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,10만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,평창군,4명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,500~700만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,10만원 이상,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,강원도,춘천시,혼자서,1박 2일,M,40대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상남도,산청군,5명 이상,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,속초시,4명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),판매/서비스직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시,2명,1박 2일,M,30대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,7~10만원 미만,7~10만원 미만,5~7만원 미만,1만원 미만,1~3만원 미만,1만원 미만,대전시,모름,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만
2024년,1월,3주차,20240115,10만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,충청남도,보령시,2명,2박 3일,M,40대,기혼,자녀 성장(막내 중고생),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,10만원 이상,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,홍천군,4명,2박 3일,F,40대,기혼,자녀 성장(막내 중고생),기능/숙련/일반작업직,700만원 이상
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,부산시,모름,4명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
2024년,1월,3주차,20240115,30~40만원 미만,7~10만원 미만,10만원 이상,1~3만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,대구시,모름,4명,1박 2일,M,40대,기혼,자녀 성장(막내 중고생),경영/관리/전문직,700만원 이상
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,강원도,강릉시/평창군/횡성군,2명,6박 7일 이상,M,60대 이상,기혼,자녀 독립(막내 결혼),자영업,700만원 이상
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,서울시,모름,3명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,충청북도,충주시(구 청원군 포함),5명 이상,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,7~10만원 미만,10만원 이상,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,서울시,모름,혼자서,1박 2일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,경상남도,거제시,5명 이상,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,경기도,구체적인 지역 모름,5명 이상,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,7~10만원 미만,5~7만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,속초시/양양군,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,충청남도,서천군,3명,3박 4일,M,30대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,7~10만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,강원도,강릉시/고성군/속초시/평창군,3명,3박 4일,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,500~700만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,5~7만원 미만,경상남도,거제시,5명 이상,1박 2일,F,50대,미혼,미혼,기타/무직,300~500만원 미만
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,충청북도,제천시,4명,3박 4일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,10만원 이상,강원도,고성군,3명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),전업주부,모름
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,충청북도,단양군/충주시(구 청원군 포함),4명,모름,M,40대,기혼,자녀 성장(막내 중고생),기타/무직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,1만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,강원도,철원군,2명,4박 5일,M,30대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,전라남도,여수시,4명,1박 2일,F,20대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,3주차,20240115,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,10만원 이상,1만원 미만,전라남도,영광군,2명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,300~500만원 미만
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,5~7만원 미만,1만원 미만,서울시,모름,4명,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,5명 이상,3박 4일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,20~30만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,서울시,모름,2명,2박 3일,M,60대 이상,기혼,신혼기(자녀 없음),사무/기술직,300~500만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,장수군,4명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,전라남도,여수시,4명,1박 2일,F,20대,미혼,미혼,대학/대학원생,700만원 이상
2024년,1월,3주차,20240115,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경상북도,경주시,4명,1박 2일,F,50대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,500~700만원 미만
2024년,1월,3주차,20240115,10~20만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,3명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,3주차,20240115,모름,모름,모름,모름,모름,모름,모름,강원도,속초시/양구군/인제군/철원군/춘천시/홍천군,4명,5박 6일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
