업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,49.0,2.0
쇼핑업,기타관광쇼핑,49.0,36.1
쇼핑업,대형쇼핑몰,49.0,62.0
숙박업,호텔,0.8,11.8
숙박업,캠핑장/펜션,0.8,3.3
숙박업,기타숙박,0.8,84.9
식음료업,일반외식업,27.4,83.5
식음료업,제과음료업,27.4,16.5
여가서비스업,관광유원시설,5.8,2.3
여가서비스업,골프장,5.8,62.4
여가서비스업,기타레저,5.8,21.2
여가서비스업,문화서비스,5.8,14.1
여행업,여행업,0.2,100.0
운송업,렌터카,15.5,0.1
운송업,육상운송,15.5,99.9
의료웰니스업,의료관광,1.3,16.5
의료웰니스업,뷰티,1.3,83.5
