기준년월,기초지자체,중분류,소비액(천원),전년도 지출액
202204,파주시,문화서비스,449655.0,415469.0
202204,파주시,육상운송,1.7358996E7,1.2976809E7
202204,파주시,대형쇼핑몰,3.8361146E7,3.6430083E7
202204,파주시,의료관광,195622.0,154933.0
202204,파주시,뷰티,1032608.0,880034.0
202204,파주시,일반외식업,2.6907413E7,2.123318E7
202204,파주시,제과음료업,6532314.0,4367963.0
202205,파주시,호텔,165123.0,96411.0
202205,파주시,캠핑장/펜션,67085.0,36823.0
202205,파주시,기타숙박,762949.0,714906.0
202205,파주시,여행업,32936.0,14771.0
202205,파주시,렌터카,15485.0,4678.0
202205,파주시,레저용품쇼핑,2354970.0,1793242.0
202205,파주시,기타관광쇼핑,1.8003435E7,1.7598956E7
202205,파주시,관광유원시설,709969.0,615335.0
202205,파주시,골프장,1.2443233E7,1.0368082E7
202205,파주시,기타레저,2361008.0,1435150.0
202205,파주시,문화서비스,1159216.0,572693.0
202205,파주시,육상운송,1.8826936E7,1.2728609E7
202205,파주시,대형쇼핑몰,3.7483384E7,3.9786606E7
202205,파주시,의료관광,214758.0,159463.0
202205,파주시,뷰티,1086645.0,835721.0
202205,파주시,일반외식업,3.1378177E7,2.4383066E7
202205,파주시,제과음료업,6994733.0,5147292.0
202206,파주시,호텔,116436.0,67740.0
202206,파주시,캠핑장/펜션,50545.0,23465.0
202206,파주시,기타숙박,719452.0,651731.0
202206,파주시,여행업,58379.0,38460.0
202206,파주시,렌터카,6095.0,9590.0
202206,파주시,레저용품쇼핑,1835379.0,1446041.0
202206,파주시,기타관광쇼핑,1.6922709E7,1.662206E7
202206,파주시,관광유원시설,415538.0,439264.0
202206,파주시,골프장,1.1084054E7,1.0296115E7
202206,파주시,기타레저,1751209.0,1121816.0
202206,파주시,문화서비스,1001351.0,528116.0
202206,파주시,육상운송,1.7758282E7,1.2710084E7
202206,파주시,대형쇼핑몰,3.0933197E7,3.0540447E7
202206,파주시,의료관광,228036.0,197503.0
202206,파주시,뷰티,1026971.0,819872.0
202206,파주시,일반외식업,2.7617912E7,2.1465786E7
202206,파주시,제과음료업,6254089.0,4603504.0
202207,파주시,호텔,135767.0,79872.0
202207,파주시,캠핑장/펜션,73233.0,35880.0
202207,파주시,기타숙박,897905.0,744246.0
202207,파주시,여행업,31965.0,6623.0
202207,파주시,렌터카,11047.0,13601.0
202207,파주시,레저용품쇼핑,1636494.0,1345514.0
202207,파주시,기타관광쇼핑,1.7663369E7,1.7402931E7
202207,파주시,관광유원시설,240866.0,160305.0
202207,파주시,골프장,1.1088788E7,8631623.0
202207,파주시,기타레저,1665665.0,829966.0
202207,파주시,문화서비스,944789.0,635494.0
202207,파주시,육상운송,1.8122918E7,1.4447048E7
202207,파주시,대형쇼핑몰,2.9372717E7,2.7366245E7
202207,파주시,의료관광,193377.0,173643.0
202207,파주시,뷰티,1048691.0,795920.0
202207,파주시,일반외식업,2.9237332E7,1.9871899E7
202207,파주시,제과음료업,6714958.0,4639578.0
202208,파주시,호텔,99500.0,81843.0
202208,파주시,캠핑장/펜션,48620.0,52507.0
202208,파주시,기타숙박,882070.0,745830.0
202208,파주시,여행업,51147.0,14050.0
202208,파주시,렌터카,8594.0,3619.0
202208,파주시,레저용품쇼핑,1514770.0,1411719.0
202208,파주시,기타관광쇼핑,1.7599838E7,1.7713208E7
202208,파주시,관광유원시설,325668.0,345289.0
202208,파주시,골프장,9483227.0,8268891.0
202208,파주시,기타레저,1842250.0,1151738.0
202208,파주시,문화서비스,945963.0,735293.0
202208,파주시,육상운송,1.6656559E7,1.434086E7
202208,파주시,대형쇼핑몰,2.9414363E7,3.1330709E7
202208,파주시,의료관광,182599.0,175407.0
202208,파주시,뷰티,1046479.0,754878.0
202208,파주시,일반외식업,2.843546E7,2.0815456E7
202208,파주시,제과음료업,6967247.0,5354841.0
202209,파주시,호텔,82872.0,87275.0
202209,파주시,캠핑장/펜션,53060.0,30494.0
202209,파주시,기타숙박,779327.0,618330.0
202209,파주시,여행업,21109.0,26950.0
202209,파주시,육상운송,1.6847281E7,1.4441829E7
202209,파주시,레저용품쇼핑,1612099.0,1763636.0
202209,파주시,기타관광쇼핑,1.8474866E7,1.944765E7
202209,파주시,관광유원시설,479497.0,626481.0
202209,파주시,골프장,1.1502848E7,9232274.0
202209,파주시,기타레저,1792348.0,1597395.0
202209,파주시,문화서비스,665722.0,570069.0
202209,파주시,렌터카,4427.0,12152.0
202209,파주시,대형쇼핑몰,3.7673443E7,3.992845E7
202209,파주시,의료관광,245370.0,235189.0
202209,파주시,뷰티,1057505.0,914929.0
202209,파주시,일반외식업,2.814299E7,2.2302473E7
202209,파주시,제과음료업,6862447.0,5914276.0
