대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,46.9,31.9
쇼핑업,대형쇼핑몰,46.9,65.2
쇼핑업,레저용품쇼핑,46.9,2.9
숙박업,기타숙박,0.8,80.9
숙박업,캠핑장/펜션,0.8,6.0
숙박업,호텔,0.8,13.1
식음료업,일반외식업,27.2,80.6
식음료업,제과음료업,27.2,19.4
여가서비스업,골프장,9.8,76.7
여가서비스업,관광유원시설,9.8,3.5
여가서비스업,기타레저,9.8,13.7
여가서비스업,문화서비스,9.8,6.1
여행업,여행업,0.0,100.0
운송업,렌터카,14.3,0.0
운송업,육상운송,14.3,100.0
의료웰니스업,뷰티,1.0,82.9
의료웰니스업,의료관광,1.0,17.1
