기초지자체명,중분류,소비액(천원),전년동기 소비액
수원시 장안구,관광총소비,4.70214854E8,3.85362659E8
수원시 권선구,관광총소비,1.107922216E9,9.77347588E8
수원시 팔달구,관광총소비,1.253859391E9,1.104546381E9
수원시 영통구,관광총소비,1.028465681E9,9.00754778E8
성남시 수정구,관광총소비,5.83554862E8,5.01926672E8
성남시 중원구,관광총소비,4.263569E8,3.590513E8
성남시 분당구,관광총소비,2.390955294E9,2.16208036E9
의정부시,관광총소비,9.84410283E8,8.2113158E8
안양시 만안구,관광총소비,3.96721224E8,3.40881024E8
안양시 동안구,관광총소비,1.153093209E9,9.88954098E8
부천시 원미구,관광총소비,1.004277459E9,8.82363973E8
부천시 소사구,관광총소비,7.83831732E8,7.39739404E8
부천시 오정구,관광총소비,5.97174565E8,5.4573609E8
광명시,관광총소비,6.21810136E8,4.66429376E8
평택시,관광총소비,1.325665124E9,1.13119755E9
동두천시,관광총소비,1.29726652E8,1.13591838E8
안산시 상록구,관광총소비,5.55409439E8,4.97702178E8
안산시 단원구,관광총소비,1.033124644E9,8.84045831E8
고양시 덕양구,관광총소비,1.561470227E9,1.302924202E9
고양시 일산동구,관광총소비,1.201902411E9,1.021944016E9
고양시 일산서구,관광총소비,8.39251717E8,7.57289512E8
과천시,관광총소비,1.59567353E8,1.2813483E8
구리시,관광총소비,6.05885223E8,5.35123341E8
남양주시,관광총소비,1.446008735E9,1.227517197E9
오산시,관광총소비,4.85233927E8,4.34789942E8
시흥시,관광총소비,1.354642104E9,1.18593465E9
군포시,관광총소비,3.52983477E8,2.99969991E8
의왕시,관광총소비,6.17276774E8,3.83423659E8
하남시,관광총소비,1.525293017E9,1.28052708E9
용인시 처인구,관광총소비,1.115189863E9,8.81677571E8
용인시 기흥구,관광총소비,1.45351269E9,1.255143827E9
용인시 수지구,관광총소비,9.69652524E8,8.27238217E8
파주시,관광총소비,1.37437978E9,1.211088111E9
이천시,관광총소비,1.017675111E9,8.38319548E8
안성시,관광총소비,1.078130514E9,8.940422E8
김포시,관광총소비,1.349121144E9,1.167410838E9
화성시,관광총소비,2.052709611E9,1.738987968E9
광주시,관광총소비,8.1969832E8,7.11679372E8
양주시,관광총소비,6.09258803E8,5.12525615E8
포천시,관광총소비,7.06113411E8,6.05916542E8
여주시,관광총소비,1.051906833E9,9.32581004E8
연천군,관광총소비,8.9150127E7,7.4748933E7
가평군,관광총소비,4.86715565E8,3.96188319E8
양평군,관광총소비,3.77750573E8,3.33315608E8
