기준연월,동반유형명,언급건수
202010,기타가족,10689
202010,친구,4495
202010,부모님,4457
202010,자녀,4247
202010,회사동료,3136
202010,배우자,2082
202010,싱글,1626
202010,연인,1557
202010,학생,708
