업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,25.0,1
음식,설문커피,20.0,2
음식,가나안덕/일산본점,15.0,3
음식,진밭국수,14.0,4
음식,미덕원/일산점,11.0,5
음식,샛터농원,10.0,6
음식,능이가,10.0,7
음식,맥도날드/중산DT점,9.0,8
음식,등촌샤브칼국수/일산본점,9.0,9
음식,질마재양대창/백석점,8.0,10
쇼핑,라페스타,86.0,1
쇼핑,코스트코홀세일/일산점,64.0,2
쇼핑,이마트/풍산점,29.0,3
쇼핑,벨라시타,28.0,4
쇼핑,롯데백화점/일산점,26.0,5
쇼핑,뉴코아아울렛/일산점,19.0,6
쇼핑,롯데아울렛/고양터미널점,14.0,7
쇼핑,홈플러스/고양터미널점,13.0,8
쇼핑,홈플러스/일산점,11.0,9
쇼핑,해태쇼핑타운,9.0,10
문화관광,일산호수공원,32.0,1
문화관광,CGV/일산,10.0,2
문화관광,롯데시네마/라페스타,8.0,3
문화관광,중산체육공원,3.0,4
문화관광,고양꽃전시관,2.0,5
문화관광,고양아람누리,2.0,6
문화관광,메가박스/백석,2.0,7
문화관광,일산호수공원/반려동물놀이터,1.0,8
문화관광,정발산중앙공원,1.0,9
문화관광,밤가시공원,1.0,10
