유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,53.0,9.0
음식,외국식,53.0,8.7
음식,음식점기타,53.0,0.3
음식,전문음식,53.0,21.0
음식,카페/찻집,53.0,27.0
음식,한식,53.0,34.0
쇼핑,시장,18.2,2.0
쇼핑,쇼핑몰,18.2,93.7
쇼핑,기타쇼핑시설,18.2,4.4
기타관광,기타관광,11.5,100.0
문화관광,테마공원,8.4,3.5
문화관광,전시시설,8.4,4.3
문화관광,복합관광시설,8.4,4.2
문화관광,레저스포츠시설,8.4,5.7
문화관광,랜드마크관광,8.4,5.0
문화관광,도시공원,8.4,40.2
문화관광,기타문화관광지,8.4,5.5
문화관광,공연시설,8.4,31.7
레저스포츠,육상레저스포츠,4.1,92.3
레저스포츠,수상레저스포츠,4.1,6.3
레저스포츠,기타레저스포츠,4.1,1.4
숙박,모텔,1.9,40.4
숙박,호텔,1.9,20.1
숙박,콘도미니엄,1.9,2.9
숙박,캠핑,1.9,35.9
숙박,기타숙박,1.9,0.8
역사관광,종교성지,1.7,68.2
역사관광,역사유적지,1.7,31.8
자연관광,자연경관(산),1.1,66.5
자연관광,자연경관(하천/해양),1.1,8.3
자연관광,자연공원,1.1,25.2
체험관광,농/산/어촌체험,0.1,70.6
체험관광,웰니스관광,0.1,29.4
