소비자 연령,비율(남성),비율(여성)
80대,0.3,0.3
70대,1.4,0.9
60대,8.1,4.2
50대,15.7,8.6
40대,17.6,9.1
30대,15.1,8.1
20대,6.1,4.4
10대,0.1,0.1
