순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202006,88650,88650.0
2,경기도,파주시,벽초지수목원,202006,23602,23602.0
3,경기도,파주시,서서울컨트리클럽,202006,11931,11931.0
4,경기도,파주시,공릉관광지(하니랜드),202006,9920,9920.0
5,경기도,파주시,서원밸리골프클럽,202006,8569,8569.0
6,경기도,파주시,소울원,202006,5765,5765.0
7,경기도,파주시,헤이리예술마을,202006,5059,5059.0
8,경기도,파주시,황희선생유적지,202006,3898,3898.0
9,경기도,파주시,우농타조농장,202006,3223,3223.0
10,경기도,파주시,베스트밸리,202006,3169,3169.0
11,경기도,파주시,율곡선생유적지,202006,2868,2868.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202006,2383,2383.0
13,경기도,파주시,황포돛배,202006,1845,1845.0
14,경기도,파주시,산머루농원,202006,370,370.0
15,경기도,파주시,쇠꼴마을,202006,350,350.0
16,경기도,파주시,두루뫼박물관,202006,140,140.0
17,경기도,파주시,영집궁시박물관,202006,135,135.0
18,경기도,파주시,파주임실치즈스쿨,202006,10,10.0
