업종중분류명,업체명,방문자수,순위
음식,스타벅스/파주야당DT점,30.0,1
음식,더티트렁크,14.0,2
음식,버거킹/파주야당역점,11.0,3
음식,청산어죽,10.0,4
음식,버터킹빵공장,9.0,5
음식,평양손만두/파주운정점,8.0,6
음식,앤드테라스/파주점,8.0,7
음식,KFC/야당역점,8.0,8
음식,타샤의정원/[한식],6.0,9
음식,피자헛/파주운정점,6.0,10
쇼핑,신세계프리미엄아울렛/파주점,192.0,1
쇼핑,롯데프리미엄아울렛/파주점,192.0,2
쇼핑,이마트/파주운정점,79.0,3
쇼핑,홈플러스/파주운정점,37.0,4
쇼핑,운정가구타운,17.0,5
쇼핑,이마트/파주점,14.0,6
쇼핑,대하마트,6.0,7
쇼핑,이채쇼핑몰,4.0,8
쇼핑,홈플러스/파주문산점,3.0,9
쇼핑,파주파비뇽아울렛,2.0,10
문화관광,운정호수공원,29.0,1
문화관광,자유로자동차극장,17.0,2
문화관광,퍼스트가든,11.0,3
문화관광,메가박스/파주출판도시,8.0,4
문화관광,평화누리,7.0,5
문화관광,메가박스/파주운정,6.0,6
문화관광,퍼스트가든자동차극장,6.0,7
문화관광,롯데시네마/파주아울렛,4.0,8
문화관광,퍼스트가든빛축제,2.0,9
문화관광,소울원,2.0,10
