유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,외국식,46.8,9.1
음식,한식,46.8,31.9
음식,카페/찻집,46.8,24.7
음식,간이음식,46.8,15.0
음식,음식점기타,46.8,0.3
음식,전문음식,46.8,19.0
쇼핑,기타쇼핑시설,19.5,3.8
쇼핑,시장,19.5,2.4
쇼핑,쇼핑몰,19.5,93.8
기타관광,기타관광,13.4,100.0
문화관광,복합관광시설,9.9,7.5
문화관광,전시시설,9.9,4.1
문화관광,테마공원,9.9,3.9
문화관광,레저스포츠시설,9.9,1.5
문화관광,랜드마크관광,9.9,3.6
문화관광,도시공원,9.9,48.0
문화관광,기타문화관광지,9.9,6.5
문화관광,공연시설,9.9,24.8
숙박,기타숙박,3.6,0.2
숙박,모텔,3.6,22.6
숙박,캠핑,3.6,39.7
숙박,콘도미니엄,3.6,1.4
숙박,펜션/민박,3.6,0.1
숙박,호텔,3.6,36.0
레저스포츠,기타레저스포츠,3.2,4.5
레저스포츠,육상레저스포츠,3.2,79.4
레저스포츠,수상레저스포츠,3.2,16.1
역사관광,종교성지,1.7,67.9
역사관광,역사유적지,1.7,32.1
자연관광,자연경관(산),1.5,60.4
자연관광,자연경관(하천/해양),1.5,17.5
자연관광,자연공원,1.5,22.1
체험관광,농/산/어촌체험,0.4,94.4
체험관광,웰니스관광,0.4,5.6
