기초지자체,중분류,소비액(천원)
경기도,관광총소비,2799582.0
경기도,관광총소비,8566024.0
경기도,관광총소비,4.4785694E7
경기도,관광총소비,3.6382885E7
경기도,관광총소비,8846230.0
경기도,관광총소비,2.1028472E7
경기도,관광총소비,1.29489421E8
경기도,관광총소비,8105844.0
경기도,관광총소비,2397813.0
경기도,관광총소비,1.3907973E7
경기도,관광총소비,4.6430636E7
경기도,관광총소비,3209767.0
경기도,관광총소비,698167.0
경기도,관광총소비,6027611.0
경기도,관광총소비,1.1514288E8
경기도,관광총소비,2.1431989E7
경기도,관광총소비,5764719.0
경기도,관광총소비,8628236.0
경기도,관광총소비,3.8381621E7
경기도,관광총소비,1.4979565E7
경기도,관광총소비,9265579.0
경기도,관광총소비,1978103.0
경기도,관광총소비,4209015.0
경기도,관광총소비,1.2460945E7
경기도,관광총소비,4400299.0
경기도,관광총소비,1.0919141E7
경기도,관광총소비,2969139.0
경기도,관광총소비,1.068362E7
경기도,관광총소비,8590138.0
경기도,관광총소비,1.4640063E7
경기도,관광총소비,1.909555E7
경기도,관광총소비,1.1931664E7
경기도,관광총소비,3.0759794E7
경기도,관광총소비,7378642.0
경기도,관광총소비,1.2555862E7
경기도,관광총소비,2.8774701E7
경기도,관광총소비,3.1037551E7
경기도,관광총소비,4598940.0
경기도,관광총소비,3160874.0
경기도,관광총소비,4507962.0
경기도,관광총소비,2.2336019E7
경기도,관광총소비,433864.0
경기도,관광총소비,5568977.0
경기도,관광총소비,2014606.0
