지역명,비율(%)
광탄면,1.4
교하동,35.0
금촌1동,0.9
금촌2동,1.3
금촌3동,0.1
문산읍,6.5
법원읍,0.8
운정1동,1.3
운정2동,0.9
운정3동,4.9
운정4동,0.5
운정5동,0.5
운정6동,0.0
월롱면,0.5
장단면,13.9
적성면,0.3
조리읍,0.8
탄현면,30.2
파주읍,0.2
파평면,0.1
