대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,대형쇼핑몰,78.1,72.0
쇼핑업,레저용품쇼핑,78.1,0.6
쇼핑업,기타관광쇼핑,78.1,27.4
숙박업,호텔,3.1,12.3
숙박업,캠핑장/펜션,3.1,0.7
숙박업,기타숙박,3.1,86.9
식음료업,일반외식업,12.0,81.0
식음료업,제과음료업,12.0,19.0
여가서비스업,관광유원시설,3.2,2.1
여가서비스업,골프장,3.2,44.9
여가서비스업,기타레저,3.2,48.5
여가서비스업,문화서비스,3.2,4.5
여행업,여행업,0.0,100.0
운송업,육상운송,0.7,98.4
운송업,렌터카,0.7,1.6
의료웰니스업,의료관광,2.8,47.5
의료웰니스업,뷰티,2.8,52.5
