성/연령,지역명,비율
20대 남성,충청북도 청주시 청원구,12.4
50대 남성,충청북도 청주시 청원구,10.8
40대 남성,충청북도 청주시 청원구,10.2
30대 남성,충청북도 청주시 청원구,9.9
20대 여성,충청북도 청주시 청원구,9.0
50대 여성,충청북도 청주시 청원구,8.7
40대 여성,충청북도 청주시 청원구,7.5
30대 여성,충청북도 청주시 청원구,6.9
60대 남성,충청북도 청주시 청원구,6.4
60대 여성,충청북도 청주시 청원구,4.9
10대 남성,충청북도 청주시 청원구,4.0
10대 여성,충청북도 청주시 청원구,3.7
70대 이상 남성,충청북도 청주시 청원구,2.2
70대 이상 여성,충청북도 청주시 청원구,2.1
10대 미만 여성,충청북도 청주시 청원구,0.7
10대 미만 남성,충청북도 청주시 청원구,0.6
