지표 코드,지표명,지표 순위값,지역명
1,방문자유입,64,의정부시
2,숙박방문자 비율,52,의정부시
3,체류시간,92,의정부시
4,목적지 검색량,56,의정부시
5,관광소비,50,의정부시
1,방문자유입,51,시흥시
2,숙박방문자 비율,53,시흥시
3,체류시간,151,시흥시
4,목적지 검색량,28,시흥시
5,관광소비,25,시흥시
1,방문자유입,57,파주시
2,숙박방문자 비율,71,파주시
3,체류시간,130,파주시
4,목적지 검색량,9,파주시
5,관광소비,37,파주시
1,방문자유입,54,김포시
2,숙박방문자 비율,67,김포시
3,체류시간,99,김포시
4,목적지 검색량,23,김포시
5,관광소비,27,김포시
