순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202206,113088,113088.0
2,경기도,파주시,벽초지수목원,202206,42045,42045.0
3,경기도,파주시,헤이리예술마을,202206,27121,27121.0
4,경기도,파주시,퍼스트가든,202206,24351,24351.0
5,경기도,파주시,통일전망대,202206,19997,19997.0
6,경기도,파주시,공릉관광지(하니랜드),202206,17475,17475.0
7,경기도,파주시,서서울컨트리클럽,202206,11680,11680.0
8,경기도,파주시,서원밸리골프클럽,202206,8403,8403.0
9,경기도,파주시,제3땅굴,202206,5911,5911.0
10,경기도,파주시,파주삼릉,202206,5697,5697.0
11,경기도,파주시,율곡선생유적지,202206,5239,5239.0
12,경기도,파주시,베스트밸리,202206,5175,5175.0
13,경기도,파주시,황희선생유적지,202206,5048,5048.0
14,경기도,파주시,경기미래교육 파주캠퍼스,202206,3900,3900.0
15,경기도,파주시,황포돛배,202206,3160,3160.0
16,경기도,파주시,파주장릉,202206,2651,2651.0
17,경기도,파주시,소울원,202206,2527,2527.0
18,경기도,파주시,우농타조농장,202206,1580,1580.0
19,경기도,파주시,쇠꼴마을,202206,1327,1327.0
20,경기도,파주시,산머루농원,202206,611,611.0
21,경기도,파주시,영집궁시박물관,202206,129,129.0
22,경기도,파주시,두루뫼박물관,202206,57,57.0
