순위,관광지ID,업소명,분류
89,63250e730c2d13cbe6ebb5bf7f9f7e0b,소문난팔당냉면,한식
91,58b77483c5ee3733e6f573d26e5a55bd,초원오리농장,전문음식
92,a92b5f46ac324d622594f9442aa7e600,억부인국수집,한식
93,f9f7656f775a725d2dde2b2df2900518,선불후면,한식
94,a6f4edd7a93e34997d8d580de003a6a1,류재은베이커리행복점,간이음식
95,39218b1c1b62676b65bbedb7effdea3d,최고야손해물짬뽕[중식],외국식
96,3a6c3504fff5351cf14f44a2828f7a09,DMZ장단콩두부마을,한식
97,e45e5ffaf1eb88018290c542fb9b7b40,강릉해변메밀막국수,한식
98,60b581dd7407e5dc6e1346539e021c18,오백년누룽지백숙본점,한식
99,ebb2420d413fa8b9bb75802b554ca422,궁중영의정인절미떡집,간이음식
100,efdd66797bcec11d0fe35d032b88e309,파주장단콩두부,한식
