지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1232.0,2.98
41113,수원시 권선구,1466.0,2.93
41115,수원시 팔달구,874.0,2.75
41117,수원시 영통구,1269.0,3.02
41131,성남시 수정구,1286.0,2.95
41133,성남시 중원구,1506.0,2.84
41135,성남시 분당구,1227.0,3.12
41150,의정부시,1914.0,3.0
41171,안양시 만안구,1329.0,2.87
41173,안양시 동안구,1337.0,2.96
41190,부천시,1806.0,3.04
41210,광명시,1011.0,2.95
41220,평택시,2683.0,3.12
41250,동두천시,1906.0,2.97
41271,안산시 상록구,1923.0,2.97
41273,안산시 단원구,1412.0,2.85
41281,고양시 덕양구,1230.0,3.01
41285,고양시 일산동구,1196.0,3.05
41287,고양시 일산서구,1239.0,3.02
41290,과천시,1013.0,3.25
41310,구리시,895.0,2.9
41360,남양주시,1696.0,2.98
41370,오산시,1734.0,2.99
41390,시흥시,1527.0,2.98
41410,군포시,1476.0,2.95
41430,의왕시,950.0,2.88
41450,하남시,991.0,3.01
41461,용인시 처인구,1533.0,2.89
41463,용인시 기흥구,1446.0,3.06
41465,용인시 수지구,1642.0,3.06
41480,파주시,1513.0,2.97
41500,이천시,1529.0,3.06
41550,안성시,1288.0,2.96
41570,김포시,1706.0,3.07
41590,화성시,1812.0,2.96
41610,광주시,1460.0,2.98
41630,양주시,1513.0,2.91
41650,포천시,1557.0,2.71
41670,여주시,1246.0,2.83
41800,연천군,1521.0,2.74
41820,가평군,1365.0,2.32
41830,양평군,1160.0,2.59
