업종중분류명,지역명,비율
음식,경상남도 창원시 진해구,49.2
레저스포츠,경상남도 창원시 진해구,12.1
문화관광,경상남도 창원시 진해구,12.1
기타관광,경상남도 창원시 진해구,6.6
숙박,경상남도 창원시 진해구,5.7
쇼핑,경상남도 창원시 진해구,5.4
역사관광,경상남도 창원시 진해구,4.8
자연관광,경상남도 창원시 진해구,4.2
체험관광,경상남도 창원시 진해구,0.0
