소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.3,0.8
60대,6.8,3.6
50대,14.7,9.3
40대,17.1,9.6
30대,15.6,8.3
20대,7.7,4.8
10대,0.1,0.1
