업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,37.0,1
음식,포레스트아웃팅스/일산,23.0,2
음식,설문커피,18.0,3
음식,가나안덕/일산본점,17.0,4
음식,맥도날드/중산DT점,14.0,5
음식,백제원/일산점,12.0,6
음식,등촌샤브칼국수/일산본점,11.0,7
음식,백석기사식당,10.0,8
음식,VIPS/일산점,8.0,9
음식,맥도날드/고양풍동DT점,7.0,10
쇼핑,라페스타,110.0,1
쇼핑,코스트코홀세일/일산점,108.0,2
쇼핑,이마트/풍산점,49.0,3
쇼핑,벨라시타,48.0,4
쇼핑,뉴코아아울렛/일산점,33.0,5
쇼핑,롯데백화점/일산점,30.0,6
쇼핑,홈플러스/일산점,20.0,7
쇼핑,이마트/일산점,15.0,8
쇼핑,홈플러스/고양터미널점,14.0,9
쇼핑,해태쇼핑타운,11.0,10
문화관광,일산호수공원,31.0,1
문화관광,일산문화공원,15.0,2
문화관광,CGV/일산,7.0,3
문화관광,롯데시네마/라페스타,4.0,4
문화관광,일산풋볼파크,3.0,5
문화관광,고양아람누리,2.0,6
문화관광,일산호수공원/반려동물놀이터,2.0,7
문화관광,고양장항야구장,2.0,8
문화관광,중산체육공원,1.0,9
문화관광,메가박스/백석,1.0,10
