업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,2794,4170,-33.0,28896,29765,-2.9
레저스포츠,1073,1053,1.9,28896,29765,-2.9
문화관광,2539,3103,-18.2,28896,29765,-2.9
쇼핑,4944,6292,-21.4,28896,29765,-2.9
숙박,993,799,24.3,28896,29765,-2.9
역사관광,439,489,-10.2,28896,29765,-2.9
음식,15610,13242,17.9,28896,29765,-2.9
자연관광,296,410,-27.8,28896,29765,-2.9
체험관광,208,207,0.5,28896,29765,-2.9
