업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,3951,5939,-33.5,23414,25834,-9.4
레저스포츠,1698,1800,-5.7,23414,25834,-9.4
문화관광,2187,3010,-27.3,23414,25834,-9.4
쇼핑,4529,5491,-17.5,23414,25834,-9.4
숙박,831,744,11.7,23414,25834,-9.4
역사관광,567,690,-17.8,23414,25834,-9.4
음식,9200,7616,20.8,23414,25834,-9.4
자연관광,249,401,-37.9,23414,25834,-9.4
체험관광,202,143,41.3,23414,25834,-9.4
