업종중분류명,업체명,방문자수,순위
음식,말똥도넛,33.0,1
음식,스타벅스/파주야당DT점,26.0,2
음식,뮌스터담,20.0,3
음식,앤드테라스/파주점,19.0,4
음식,곤트란쉐리에/파주점,17.0,5
음식,더티트렁크,16.0,6
음식,내사랑동까스,11.0,7
음식,청산어죽,9.0,8
음식,평양손만두/파주운정점,8.0,9
음식,흑사당,8.0,10
쇼핑,롯데프리미엄아울렛/파주점,230.0,1
쇼핑,신세계프리미엄아울렛/파주점,172.0,2
쇼핑,이마트/파주운정점,71.0,3
쇼핑,홈플러스/파주운정점,48.0,4
쇼핑,이마트/파주점,13.0,5
쇼핑,운정가구타운,12.0,6
쇼핑,홈플러스/파주문산점,8.0,7
쇼핑,금촌전통시장,7.0,8
쇼핑,문산자유시장,2.0,9
쇼핑,대하마트,2.0,10
문화관광,운정호수공원,23.0,1
문화관광,평화누리,16.0,2
문화관광,자유로자동차극장,8.0,3
문화관광,퍼스트가든,6.0,4
문화관광,CGV/파주야당,6.0,5
문화관광,메가박스/파주출판도시,3.0,6
문화관광,미메시스아트뮤지엄,3.0,7
문화관광,오두산통일전망대,2.0,8
문화관광,메가박스/파주금촌,2.0,9
문화관광,콩치노콩크리트,2.0,10
