유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,17.7,29.6
기타관광,기타관광,17.7,70.4
레저스포츠,기타레저스포츠,10.4,4.0
레저스포츠,수상레저스포츠,10.4,3.9
레저스포츠,육상레저스포츠,10.4,92.1
문화관광,기타문화관광지,13.4,1.7
문화관광,도시공원,13.4,48.9
문화관광,랜드마크관광,13.4,5.4
문화관광,복합관광시설,13.4,6.8
문화관광,테마공원,13.4,14.4
문화관광,레저스포츠시설,13.4,2.5
문화관광,공연시설,13.4,16.8
문화관광,전시시설,13.4,3.6
쇼핑,쇼핑몰,19.5,93.9
쇼핑,시장,19.5,3.4
쇼핑,기타쇼핑시설,19.5,2.8
숙박,기타숙박,4.3,0.0
숙박,모텔,4.3,24.0
숙박,펜션/민박,4.3,13.1
숙박,호스텔,4.3,1.6
숙박,호텔,4.3,16.9
숙박,캠핑,4.3,44.4
역사관광,역사유물,2.1,1.8
역사관광,역사유적지,2.1,43.9
역사관광,종교성지,2.1,54.3
음식,간이음식,30.8,13.7
음식,외국식,30.8,6.7
음식,음식점기타,30.8,0.6
음식,전문음식,30.8,18.1
음식,한식,30.8,36.8
음식,카페/찻집,30.8,24.1
자연관광,자연경관(하천/해양),1.6,29.1
자연관광,자연경관(산),1.6,40.3
자연관광,자연공원,1.6,30.6
체험관광,농/산/어촌체험,0.3,74.4
체험관광,웰니스관광,0.3,22.3
체험관광,공예체험,0.3,3.3
