방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.4,2.0
60~69세,8.1,4.5
50~59세,13.7,8.2
40~49세,12.7,7.3
30~39세,11.3,7.3
20~29세,10.9,6.6
10~19세,2.2,1.8
0~9세,0.5,0.5
