기준연월,목적지 유형,목적지 검색량
202009,전체,516854
202009,숙박,22062
202009,음식,159038
202009,기타관광,91621
202009,쇼핑,100588
202009,자연관광,8448
202009,문화관광,69146
202009,역사관광,10895
202009,체험관광,1449
202009,레저스포츠,53607
