업종중분류명,현지인 검색비율,외지인 검색비율
음식,38.9,29.5
기타관광,20.2,17.3
쇼핑,12.7,20.5
문화관광,12.5,13.5
레저스포츠,6.4,11.0
숙박,4.7,4.2
역사관광,2.2,2.1
자연관광,1.9,1.6
체험관광,0.5,0.3
