거리구분명,방문자수,방문자비율
30km 미만,1484556.0,42.5
30km 이상 70km 미만,1695470.0,48.54
70km 이상 140km 미만 ,161536.0,4.62
140km 이상 190km 미만,50054.0,1.43
190km 이상 240km 미만,21259.0,0.61
240km 이상 ,80283.0,2.3
