업종중분류명,현지인 검색비율,외지인 검색비율
음식,45.7,33.8
기타관광,17.1,16.5
쇼핑,12.3,19.3
문화관광,11.9,12.6
레저스포츠,5.9,10.8
숙박,3.5,3.8
역사관광,1.8,1.6
자연관광,1.4,1.3
체험관광,0.4,0.2
