방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.4
60~69세,8.7,5.0
50~59세,13.6,8.5
40~49세,12.1,6.5
30~39세,10.9,6.9
20~29세,11.9,6.4
10~19세,2.0,1.6
0~9세,0.5,0.6
