유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,16.6,30.3
기타관광,기타관광,16.6,69.7
레저스포츠,기타레저스포츠,9.9,6.2
레저스포츠,수상레저스포츠,9.9,3.2
레저스포츠,육상레저스포츠,9.9,90.6
문화관광,기타문화관광지,12.5,2.1
문화관광,도시/지역문화관광,12.5,0.0
문화관광,도시공원,12.5,43.6
문화관광,랜드마크관광,12.5,5.3
문화관광,복합관광시설,12.5,7.7
문화관광,테마공원,12.5,24.2
문화관광,레저스포츠시설,12.5,2.4
문화관광,공연시설,12.5,10.2
문화관광,전시시설,12.5,4.5
쇼핑,쇼핑몰,18.1,94.3
쇼핑,시장,18.1,3.9
쇼핑,기타쇼핑시설,18.1,1.7
숙박,기타숙박,3.8,0.0
숙박,모텔,3.8,27.3
숙박,펜션/민박,3.8,9.7
숙박,호스텔,3.8,2.3
숙박,호텔,3.8,20.0
숙박,캠핑,3.8,40.7
역사관광,역사유물,1.6,1.5
역사관광,역사유적지,1.6,41.6
역사관광,종교성지,1.6,56.9
음식,간이음식,35.8,11.0
음식,외국식,35.8,6.9
음식,음식점기타,35.8,0.4
음식,전문음식,35.8,18.4
음식,한식,35.8,37.3
음식,카페/찻집,35.8,26.1
자연관광,자연경관(하천/해양),1.3,31.5
자연관광,자연경관(산),1.3,35.3
자연관광,자연공원,1.3,33.2
체험관광,농/산/어촌체험,0.3,80.3
체험관광,웰니스관광,0.3,17.6
체험관광,공예체험,0.3,2.1
