기준연월,동반유형명,언급건수
202203,기타가족,8097
202203,친구,4195
202203,부모님,3770
202203,자녀,3279
202203,회사동료,2485
202203,배우자,1954
202203,싱글,1650
202203,연인,1566
202203,학생,826
