대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,대형쇼핑몰,78.6,60.9
쇼핑업,레저용품쇼핑,78.6,0.5
쇼핑업,기타관광쇼핑,78.6,38.6
숙박업,호텔,3.3,13.5
숙박업,캠핑장/펜션,3.3,4.0
숙박업,기타숙박,3.3,82.4
식음료업,일반외식업,12.5,83.4
식음료업,제과음료업,12.5,16.6
여가서비스업,관광유원시설,2.5,3.6
여가서비스업,골프장,2.5,48.6
여가서비스업,기타레저,2.5,45.5
여가서비스업,문화서비스,2.5,2.3
여행업,여행업,0.0,100.0
운송업,육상운송,0.7,98.5
운송업,렌터카,0.7,1.5
의료웰니스업,의료관광,2.3,66.9
의료웰니스업,뷰티,2.3,33.1
