지역명,비율(%)
광탄면,1.2
교하동,33.7
금촌1동,0.6
금촌2동,1.1
금촌3동,0.1
문산읍,6.9
법원읍,0.5
운정1동,1.7
운정2동,0.9
운정3동,6.0
운정4동,0.7
운정5동,0.5
운정6동,0.1
월롱면,0.6
장단면,18.1
적성면,0.5
조리읍,0.6
탄현면,26.1
파주읍,0.2
파평면,0.1
