업종중분류명,지역명,비율
음식,충청북도 청주시 청원구,46.7
기타관광,충청북도 청주시 청원구,22.4
문화관광,충청북도 청주시 청원구,11.0
숙박,충청북도 청주시 청원구,9.1
레저스포츠,충청북도 청주시 청원구,6.8
역사관광,충청북도 청주시 청원구,1.9
쇼핑,충청북도 청주시 청원구,1.1
자연관광,충청북도 청주시 청원구,0.9
체험관광,충청북도 청주시 청원구,0.0
