성/연령,지역명,비율
50대 남성,경상남도 김해시,11.5
50대 여성,경상남도 김해시,10.7
40대 남성,경상남도 김해시,9.6
30대 남성,경상남도 김해시,8.8
40대 여성,경상남도 김해시,8.3
20대 남성,경상남도 김해시,8.3
60대 남성,경상남도 김해시,8.1
30대 여성,경상남도 김해시,6.7
20대 여성,경상남도 김해시,6.6
60대 여성,경상남도 김해시,6.1
10대 남성,경상남도 김해시,4.3
10대 여성,경상남도 김해시,4.2
70대 이상 남성,경상남도 김해시,2.5
70대 이상 여성,경상남도 김해시,2.5
10대 미만 여성,경상남도 김해시,0.8
10대 미만 남성,경상남도 김해시,0.7
