업종중분류명,지역명,비율
음식,전라남도 나주시,48.7
기타관광,전라남도 나주시,15.6
문화관광,전라남도 나주시,10.2
레저스포츠,전라남도 나주시,8.4
숙박,전라남도 나주시,8.0
자연관광,전라남도 나주시,3.3
역사관광,전라남도 나주시,3.3
쇼핑,전라남도 나주시,2.5
체험관광,전라남도 나주시,0.3
