업종중분류명,현지인 검색비율,외지인 검색비율
음식,49.6,36.6
기타관광,15.7,15.3
쇼핑,12.3,19.1
문화관광,10.2,11.6
레저스포츠,4.7,9.3
숙박,4.2,4.8
역사관광,1.9,1.9
자연관광,0.9,1.0
체험관광,0.3,0.3
