유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,15.4,36.3
기타관광,기타관광,15.4,63.7
레저스포츠,기타레저스포츠,8.4,8.1
레저스포츠,수상레저스포츠,8.4,2.7
레저스포츠,육상레저스포츠,8.4,89.2
문화관광,기타문화관광지,11.3,3.3
문화관광,도시공원,11.3,34.6
문화관광,랜드마크관광,11.3,4.5
문화관광,복합관광시설,11.3,8.7
문화관광,테마공원,11.3,24.2
문화관광,레저스포츠시설,11.3,2.4
문화관광,공연시설,11.3,15.4
문화관광,전시시설,11.3,6.9
쇼핑,쇼핑몰,17.8,94.1
쇼핑,시장,17.8,4.3
쇼핑,기타쇼핑시설,17.8,1.6
숙박,기타숙박,4.7,0.0
숙박,모텔,4.7,27.8
숙박,펜션/민박,4.7,10.2
숙박,호스텔,4.7,2.5
숙박,호텔,4.7,26.9
숙박,캠핑,4.7,32.5
역사관광,역사유물,1.9,0.8
역사관광,역사유적지,1.9,48.4
역사관광,종교성지,1.9,50.8
음식,간이음식,39.2,10.1
음식,외국식,39.2,6.8
음식,음식점기타,39.2,0.3
음식,전문음식,39.2,17.8
음식,한식,39.2,35.6
음식,카페/찻집,39.2,29.4
자연관광,자연경관(하천/해양),0.9,25.8
자연관광,자연경관(산),0.9,35.4
자연관광,자연공원,0.9,38.8
체험관광,농/산/어촌체험,0.3,70.0
체험관광,웰니스관광,0.3,28.2
체험관광,공예체험,0.3,1.8
