거리구분명,방문자수,방문자비율
30km 미만,1534036.0,43.44
30km 이상 70km 미만,1623906.0,45.99
70km 이상 140km 미만 ,161290.0,4.57
140km 이상 190km 미만,61876.0,1.75
190km 이상 240km 미만,30793.0,0.87
240km 이상 ,119318.0,3.38
