국가명,비율(%)
기타,28.85
중국,21.61
필리핀,8.09
미국,6.44
인도,5.89
인도네시아,4.76
일본,3.5
독일,2.77
싱가포르,2.46
베트남,2.32
프랑스,2.2
러시아,2.15
태국,2.15
튀르키예,1.66
영국,1.28
말레이시아,1.11
캐나다,1.07
몽골,0.5
카자흐스탄,0.43
대만,0.38
아랍에미리트,0.14
멕시코,0.14
사우디아라비아,0.07
홍콩,0.02
