방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.5
60~69세,9.0,5.1
50~59세,13.9,8.3
40~49세,12.0,6.7
30~39세,10.8,7.0
20~29세,11.1,6.2
10~19세,2.0,1.7
0~9세,0.4,0.4
