방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.3,2.0
60~69세,7.5,4.4
50~59세,13.0,8.1
40~49세,12.3,6.9
30~39세,10.8,7.0
20~29세,13.9,6.6
10~19세,2.6,1.7
0~9세,0.4,0.5
