업종중분류명,현지인 검색비율,외지인 검색비율
음식,49.2,36.5
기타관광,18.4,17.4
쇼핑,11.0,17.9
문화관광,9.2,10.4
레저스포츠,5.2,10.5
숙박,3.7,3.9
역사관광,1.6,1.6
자연관광,1.5,1.4
체험관광,0.3,0.3
