유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,17.5,30.7
기타관광,기타관광,17.5,69.3
레저스포츠,기타레저스포츠,9.7,3.4
레저스포츠,수상레저스포츠,9.7,3.7
레저스포츠,육상레저스포츠,9.7,92.9
문화관광,기타문화관광지,10.2,2.4
문화관광,도시공원,10.2,38.5
문화관광,랜드마크관광,10.2,7.0
문화관광,복합관광시설,10.2,8.4
문화관광,테마공원,10.2,16.4
문화관광,레저스포츠시설,10.2,3.8
문화관광,공연시설,10.2,17.0
문화관광,전시시설,10.2,6.3
쇼핑,쇼핑몰,16.9,94.0
쇼핑,시장,16.9,3.3
쇼핑,기타쇼핑시설,16.9,2.7
숙박,기타숙박,3.9,0.0
숙박,모텔,3.9,23.4
숙박,펜션/민박,3.9,17.8
숙박,호스텔,3.9,3.3
숙박,호텔,3.9,14.7
숙박,캠핑,3.9,40.8
역사관광,역사유물,1.6,7.1
역사관광,역사유적지,1.6,35.3
역사관광,종교성지,1.6,57.6
음식,간이음식,38.4,9.3
음식,외국식,38.4,6.3
음식,음식점기타,38.4,0.6
음식,전문음식,38.4,19.4
음식,한식,38.4,36.6
음식,카페/찻집,38.4,27.8
자연관광,자연경관(하천/해양),1.4,31.2
자연관광,자연경관(산),1.4,43.9
자연관광,자연공원,1.4,24.9
체험관광,농/산/어촌체험,0.3,69.7
체험관광,웰니스관광,0.3,27.5
체험관광,공예체험,0.3,2.9
