순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202207,88209,88209.0
2,경기도,파주시,헤이리예술마을,202207,27892,27892.0
3,경기도,파주시,벽초지수목원,202207,14709,14709.0
4,경기도,파주시,통일전망대,202207,14299,14299.0
5,경기도,파주시,퍼스트가든,202207,13678,13678.0
6,경기도,파주시,서서울컨트리클럽,202207,12427,12427.0
7,경기도,파주시,제3땅굴,202207,9805,9805.0
8,경기도,파주시,서원밸리골프클럽,202207,8167,8167.0
9,경기도,파주시,공릉관광지(하니랜드),202207,6322,6322.0
10,경기도,파주시,베스트밸리,202207,4848,4848.0
11,경기도,파주시,경기미래교육 파주캠퍼스,202207,3613,3613.0
12,경기도,파주시,황희선생유적지,202207,3098,3098.0
13,경기도,파주시,쇠꼴마을,202207,2782,2782.0
14,경기도,파주시,율곡선생유적지,202207,2691,2691.0
15,경기도,파주시,파주삼릉,202207,2302,2302.0
16,경기도,파주시,소울원,202207,2195,2195.0
17,경기도,파주시,황포돛배,202207,1715,1715.0
18,경기도,파주시,우농타조농장,202207,1249,1249.0
19,경기도,파주시,파주장릉,202207,1108,1108.0
20,경기도,파주시,산머루농원,202207,625,625.0
21,경기도,파주시,영집궁시박물관,202207,177,177.0
22,경기도,파주시,두루뫼박물관,202207,94,94.0
