행정동명,비율(%)
광탄면,6.5
교하동,20.2
금촌1동,3.6
금촌2동,3.1
금촌3동,1.0
문산읍,6.0
법원읍,3.9
운정1동,2.7
운정2동,4.2
운정3동,6.9
운정4동,2.0
운정5동,1.5
운정6동,0.0
월롱면,3.4
장단면,0.1
적성면,1.9
조리읍,4.7
탄현면,25.9
파주읍,1.7
파평면,0.7
