기초지자체명,중분류,소비액(천원),전년동기 소비액
수원시 장안구,관광총소비,5.32407897E8,4.70214854E8
수원시 권선구,관광총소비,1.100363025E9,1.107922216E9
수원시 팔달구,관광총소비,1.345030919E9,1.253859391E9
수원시 영통구,관광총소비,1.06910941E9,1.028465681E9
성남시 수정구,관광총소비,6.45688098E8,5.83554862E8
성남시 중원구,관광총소비,4.68056176E8,4.263569E8
성남시 분당구,관광총소비,2.600125962E9,2.390955294E9
의정부시,관광총소비,1.032807787E9,9.84410283E8
안양시 만안구,관광총소비,4.26070144E8,3.96721224E8
안양시 동안구,관광총소비,1.223157246E9,1.153093209E9
부천시 원미구,관광총소비,1.075070947E9,1.004277459E9
부천시 소사구,관광총소비,8.28896888E8,7.83831732E8
부천시 오정구,관광총소비,5.79216524E8,5.97174565E8
광명시,관광총소비,6.13655269E8,6.21810136E8
평택시,관광총소비,1.347094017E9,1.325665124E9
동두천시,관광총소비,1.41357324E8,1.29726652E8
안산시 상록구,관광총소비,5.68166952E8,5.55409439E8
안산시 단원구,관광총소비,1.149474902E9,1.033124644E9
고양시 덕양구,관광총소비,1.636314009E9,1.561470227E9
고양시 일산동구,관광총소비,1.286125424E9,1.201902411E9
고양시 일산서구,관광총소비,8.27067133E8,8.39251717E8
과천시,관광총소비,1.71758533E8,1.59567353E8
구리시,관광총소비,6.61316561E8,6.05885223E8
남양주시,관광총소비,1.485724195E9,1.446008735E9
오산시,관광총소비,5.14517795E8,4.85233927E8
시흥시,관광총소비,1.399755638E9,1.354642104E9
군포시,관광총소비,3.88116666E8,3.52983477E8
의왕시,관광총소비,6.25017842E8,6.17276774E8
하남시,관광총소비,1.555036706E9,1.525293017E9
용인시 처인구,관광총소비,1.166203619E9,1.115189863E9
용인시 기흥구,관광총소비,1.529371256E9,1.45351269E9
용인시 수지구,관광총소비,9.99365956E8,9.69652524E8
파주시,관광총소비,1.399765133E9,1.37437978E9
이천시,관광총소비,1.0022617E9,1.017675111E9
안성시,관광총소비,1.110322313E9,1.078130514E9
김포시,관광총소비,1.391426788E9,1.349121144E9
화성시,관광총소비,2.120064915E9,2.052709611E9
광주시,관광총소비,8.31338951E8,8.1969832E8
양주시,관광총소비,6.3018829E8,6.09258803E8
포천시,관광총소비,7.4277825E8,7.06113411E8
여주시,관광총소비,1.119933684E9,1.051906833E9
연천군,관광총소비,9.2535334E7,8.9150127E7
가평군,관광총소비,4.99963048E8,4.86715565E8
양평군,관광총소비,3.89399189E8,3.77750573E8
