대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,46.7,30.3
쇼핑업,대형쇼핑몰,46.7,66.3
쇼핑업,레저용품쇼핑,46.7,3.4
숙박업,기타숙박,0.6,83.7
숙박업,캠핑장/펜션,0.6,7.3
숙박업,호텔,0.6,8.9
식음료업,일반외식업,30.1,81.5
식음료업,제과음료업,30.1,18.5
여가서비스업,골프장,9.6,76.4
여가서비스업,관광유원시설,9.6,3.4
여가서비스업,기타레저,9.6,14.3
여가서비스업,문화서비스,9.6,6.0
여행업,여행업,0.1,100.0
운송업,렌터카,11.6,0.1
운송업,육상운송,11.6,99.9
의료웰니스업,뷰티,1.3,84.2
의료웰니스업,의료관광,1.3,15.8
