행정동명,비율(%)
광탄면,6.4
교하동,20.4
금촌1동,3.4
금촌2동,3.0
금촌3동,1.0
문산읍,5.9
법원읍,3.8
운정1동,3.2
운정2동,3.7
운정3동,7.0
운정4동,2.2
운정5동,1.6
운정6동,0.2
월롱면,2.6
장단면,0.1
적성면,1.7
조리읍,4.8
탄현면,26.6
파주읍,1.8
파평면,0.5
