업종중분류명,현지인 검색비율,외지인 검색비율
음식,52.5,41.4
기타관광,14.3,13.3
쇼핑,11.6,19.3
문화관광,9.7,9.8
레저스포츠,5.4,9.5
숙박,4.0,4.3
역사관광,1.3,1.3
자연관광,0.9,0.8
체험관광,0.3,0.3
