국가명,비율(%)
기타,27.11
중국,24.18
미국,7.47
인도네시아,6.91
베트남,5.31
싱가포르,4.0
태국,3.79
일본,3.72
필리핀,3.4
인도,3.34
프랑스,1.98
캐나다,1.91
러시아,1.48
독일,1.48
영국,1.21
오스트레일리아,0.9
튀르키예,0.6
멕시코,0.3
말레이시아,0.22
몽골,0.21
카자흐스탄,0.19
대만,0.09
사우디아라비아,0.07
홍콩,0.07
아랍에미리트,0.06
